αβγό|яйцо
συναυλία|концерт
συνεργείο|автосервис
συννεφιά|облачно
συνεχίζω|продолжать
συνέντευξη|интервью
συνέχεια|продолжение
συνήθεια|привычка
συνηθισμένος|привычный
συνήθως|обычно
συνθέτης|композитор
συμπεριφορά|поведение
σύννεφο|облако
συνταγή|рецепт
σύντομα|скоро
σύντομος|краткий
συρτάκι|сиртаки
συρτάρι|ящик
συσκευή|устройство
συστήνω|знакомить
συστημένος|рекомендованный
συχνά|часто
συχνός|частый
σχεδιάζω|чертить
σφιχτός|плотный
σχεδιάγραμμα|схема
σχεδόν|почти
σχέση|отношение
σχετικά|относительно
σχολείο|школа
σχολικός|школьный
σώμα|тело
σωστός|правильный
σωστά|правильно
Σωτηρία|Сотирия
ταβέρνα|таверна
τάγκο|танго
ταινία|фильм
ταιριάζω|подходить
Τάνια|Таня
τάξη|класс
ταξί|такси
ταξιδεύω|путешествовать
ταξίδι|путешествие
Τάσος|Тасос
Τασούλα|Тасула
ταχυδρομείο|почта
ταψί|противень
τελευταίος|последний
τέλεια|отлично
τελεία|точка
τέλειος|идеальный
τελειώνω|заканчивать
τελικά|в конце концов
τέλος|конец
τένις|теннис
τεράστιος|огромный
τέσσερις|четыре
Τετάρτη|среда
τέταρτος|четвёртый
τέτοιος|такой
τμ|квадратный метр
τέχνη|искусство
τεχνολογικός|технологический
τζάζ|джаз
τζάκι|камин
τζάμι|стекло (окна)
τηγάνι|сковорода
τηλεόραση|телевизор
τηλεφώνημα|звонок
τηλέφωνο|телефон
τηλεφωνώ|звонить
τι|что (вопрос)
τιμή|цена
τίποτα|ничего
τόνος|ударение
τονισμένος|ударный
τόπος|местность
τοποθεσία|местоположение
τόσος|столько
τουλάχιστον|по крайней мере
τουρίστας|турист
τουριστικός|туристический
Τουρκία|Турция
τούρτα|торт
τραγουδάω|петь
τραγούδι|песня
τραγουδιστής|певец
τραπεζομάντιλο|скатерть
τρεις|три
τρέξιμο|бег
τρέχω|бежать
τριάντα|тридцать
τρίβω|тереть
Τρίτη|вторник
τρίτος|третий
τρόπος|способ
Τρίπολη|Триполи
τροφή|пища
τρυφερός|нежный
Τροχαία|дорожная полиция
τρώω|есть
τσάντα|сумка
Τσιτσάνης|Цицанис
τύπος|тип
τυρί|сыр
τυχερός|везучий
τώρα|сейчас
υγεία|здоровье
υδράργυρος|ртуть
υλικό|материал
υπάλληλος|служащий
υπάρχει|иметься
υπάρχω|существовать
υπέροχος|великолепный
υπερωρία|сверхурочные
υπεύθυνος|ответственный
υπνοδωμάτιο|спальня
υπηρεσία|служба
υπογραμμίζω|подчёркивать
υπολογιστής|компьютер
υπόλοιπος|остальной
ύπνος|сон
υποχρεωτικός|обязательный
υποψήφιος|кандидат
ύστερα|затем
ύφασμα|ткань
φαγητό|еда
φαίνομαι|казаться
φάκελος|конверт
φακή|чечевица
Φάμπιο|Фабио
φανταστικά|фантастически
φαρμακείο|аптека
φαρμακοποιός|фармацевт
φάρμακο|лекарство
φασαρία|шум
φασόλι|фасоль
Φεβρουάριος|февраль
βολάν|листовка
φέρνω|приносить
φεστιβάλ|фестиваль
φέτος|в этом году
φετινός|этого года
φεύγω|уходить
φθηνός|дешёвый
φθινόπωρο|осень
φιλάω|целовать
φιλί|поцелуй
φιλικός|дружеский
φίλος|друг
φιλολογία|филология
φιλοξενώ|принимать гостей
φλιτζάνι|чашка
φοβάμαι|бояться
φοιτητής|студент
φοιτώ|быть студентом
φορά|раз
φοράω|носить (одежду)
φόρεμα|платье
φόρμα|спортивный костюм
φουντούκι|фундук
φούρνος|духовка
φούστα|юбка
φουστάνι|платье (нарядное)
φράση|фраза
φροντίζω|заботиться
φροντίδα|забота
φρούτο|фрукт
φτάνω|прибывать
φτηνός|недорогой
φτερό|перо
φυλλάδιο|буклет
φύλλο|лист
φυτό|растение
φυτεύω|сажать
φυσάω|дуть
φύση|природа
φυσικά|естественно
φωτιά|огонь
φωτίζω|освещать
φωτιστικό|светильник
φωτογράφος|фотограф
φωτογραφία|фотография
χάδι|ласка
χαιρετάω|приветствовать
χαίρομαι|радоваться
χαίρετε|здравствуйте
χαιρετισμός|приветствие
χαλί|ковёр
χαλάω|ломаться
χαμηλός|низкий
χάνω|терять
χαμάμ|хамам
χαμόγελο|улыбка
χαμομήλι|ромашка
χάπι|таблетка
χαρά|радость
χάρακας|линейка
χαρακτήρας|характер
Χαράλαμπος|Харалампос
χαρίζω|дарить
Χαρίκλεια|Хариклея
χαρούμενος|радостный
χάρτης|карта (географическая)
χαρτοπετσέτα|салфетка
χειμώνας|зима
χέρι|рука
χιλιόμετρο|километр
χιόνι|снег
χιονίζει|идёт снег
χλιαρός|тёплый (слегка)
χολ|холл
χόμπι|хобби
χοντρός|толстый
χορευτής|танцор
χορεύω|танцевать
χορός|танец
χρειάζομαι|нуждаться
χρήματα|деньги
χρησιμοποιώ|использовать
χρήση|использование
Χριστούγεννα|Рождество
χριστουγεννιάτικος|рождественский
χρόνος|год (разговорное)
χρονιά|год (конкретный)
χρώμα|цвет
χρωματιστός|цветной
χτες|вчера
χτυπάω|ударяться
χυμός|сок
χώρα|страна
χωριό|село
χωρίς|без
χωρισμένος|разведённый
χώρος|пространство
ψιχαλίζει|моросит
ψυγείο|холодильник
ψωμί|хлеб
ψώνια|покупки
ψωνίζω|делать покупки
ψάρι|рыба
ψάχνω|искать
ψέμα|ложь
ψηλός|высокий
ψητός|запечённый
ωδείο|консерватория
ώρα|час
ωραίος|прекрасный
ωραία|замечательно
ωράριο|график работы
ως|как
ώστε|чтобы
ωστόσο|тем не менее
